date,open,high,low,close,volume,ups_and_downs,quote_change
2019/8/2,10641.28,10641.28,10524.68,10549.04,15993913,-182.71,-1.7
2019/8/5,10528.87,10542.49,10418.25,10423.41,12939081,-125.63,-1.19
2019/8/6,10304.88,10425.6,10180.04,10394.75,14603802,-28.66,-0.27
2019/8/7,10422.89,10461.37,10366.54,10386.18,12176561,-8.57,-0.08
2019/8/8,10383.62,10500.77,10383.62,10494.49,12408182,108.31,1.04
2019/8/12,10491.79,10514.05,10440.77,10472.36,12668573,-22.13,-0.21
2019/8/13,10436.62,10436.62,10361.89,10362.66,11935751,-109.7,-1.05
2019/8/14,10444.5,10518.02,10427.73,10427.73,14615294,65.07,0.63
2019/8/15,10374.75,10374.75,10287.76,10327.13,12313299,-100.6,-0.96
2019/8/16,10345.42,10456.32,10318.37,10420.89,12004834,93.76,0.91
2019/8/19,10449.39,10516.05,10449.39,10488.75,12047692,67.86,0.65
2019/8/20,10508.42,10538.12,10497.13,10522.5,12149179,33.75,0.32
2019/8/21,10526.87,10545.25,10504.49,10525.8,11108042,3.3,0.03
2019/8/22,10560.01,10596.41,10515.72,10529.78,12327136,3.98,0.04
2019/8/23,10526.15,10541.73,10503.07,10538.11,11000755,8.33,0.08
2019/8/26,10453.4,10453.4,10340.15,10354.57,11704958,-183.54,-1.74
2019/8/27,10386.21,10431.78,10368.96,10387.23,12369115,32.66,0.32
2019/8/28,10397.6,10456.3,10397.6,10434.29,10209271,47.06,0.45
2019/8/29,10440.15,10466.99,10406.49,10462.43,10424870,28.14,0.27
2019/8/30,10504.28,10618.05,10504.28,10618.05,14821731,155.62,1.49
2019/9/2,10613.19,10634.85,10589.42,10634.85,10584876,16.8,0.16
2019/9/3,10629.22,10650.15,10557.03,10558.21,10557663,-76.64,-0.72
2019/9/4,10566.32,10670.43,10566.32,10657.31,10709349,99.1,0.94
2019/9/5,10718.4,10766.6,10714.27,10756.93,15466207,99.62,0.93
2019/9/6,10783.46,10803.07,10753.45,10780.64,13130711,23.71,0.22
2019/9/9,10808.68,10829.44,10778.15,10801.14,11673323,20.5,0.19
2019/9/10,10791.95,10810.03,10732.78,10753.58,12133814,-47.56,-0.44
2019/9/11,10787.65,10815.59,10746.87,10790.35,11993791,36.77,0.34
2019/9/12,10830.25,10862.68,10804.02,10827.55,12087260,37.2,0.34
2019/9/16,10822.69,10898.13,10822.69,10898.13,11957647,70.58,0.65
2019/9/17,10908.85,10912.23,10866.43,10874.5,11754661,-23.63,-0.22
2019/9/18,10887.42,10971.54,10878.34,10929.45,13046524,54.95,0.51
2019/9/19,10947.62,10954.18,10874.66,10894.7,11467110,-34.75,-0.32
2019/9/20,10908.1,10931.76,10903.45,10929.69,14797956,34.99,0.32
2019/9/23,10924.81,10948.19,10905.92,10919.02,10684112,-10.67,-0.1
2019/9/24,10917.44,10947.53,10886.62,10918.01,10970778,-1.01,-0.01
2019/9/25,10885.67,10885.67,10825.85,10873.69,10625930,-44.32,-0.41
2019/9/26,10909.57,10934.91,10856.96,10871.99,11601896,-1.7,-0.02
2019/9/27,10904,10921.17,10827.61,10829.68,12477159,-42.31,-0.39
2019/10/1,10855.6,10967.65,10855.6,10967.65,14984884,137.97,1.27
2019/10/2,10945.92,10965.2,10927.39,10947.88,11695088,-19.77,-0.18
2019/10/3,10866.5,10888.4,10809.28,10875.91,12171604,-71.97,-0.66
2019/10/4,10907.69,10941.49,10854.12,10894.48,12356512,18.57,0.17
2019/10/7,10932.24,10954.45,10919.43,10935.06,11438543,40.58,0.37
2019/10/8,10986.01,11020.51,10986.01,11017.31,13101953,82.25,0.75
2019/10/9,10976.93,10989.39,10889.96,10889.96,13046489,-127.35,-1.16
2019/10/14,11004.74,11085.49,11004.74,11066.95,16270015,176.99,1.63
2019/10/15,11103.5,11126.45,11091.29,11111.8,13760434,44.85,0.41
2019/10/16,11166.17,11180.11,11113.18,11162.83,14804748,51.03,0.46
2019/10/17,11156.14,11186.88,11131.45,11186.88,12369660,24.05,0.22
2019/10/18,11190.21,11237.38,11154.86,11180.22,14637263,-6.66,-0.06
2019/10/21,11166.24,11188.13,11147.86,11184.15,10320848,3.93,0.04
2019/10/22,11221.19,11271.25,11218.25,11271.25,12744219,87.1,0.78
2019/10/23,11266.18,11281.12,11209.1,11239.67,14082762,-31.58,-0.28
2019/10/24,11266.84,11320.14,11254.59,11320.14,14334106,80.47,0.72
2019/10/25,11336.64,11347.18,11281.37,11296.12,13044229,-24.02,-0.21
2019/10/28,11321.99,11341.03,11295.44,11315.02,11756212,18.9,0.17
2019/10/29,11347.39,11373.95,11292.83,11333.87,14674384,18.85,0.17
2019/10/30,11336.97,11380.28,11306.95,11380.28,12515694,46.41,0.41
2019/10/31,11393.68,11428.42,11358.71,11358.71,15607943,-21.57,-0.19
2019/11/1,11373.7,11399.53,11335.51,11399.53,13745638,40.82,0.36
2019/11/4,11451.72,11559.07,11451.72,11556.85,15849507,157.32,1.38
2019/11/5,11576.18,11644.03,11576.18,11644.03,15621927,87.18,0.75
2019/11/6,11645.08,11668.2,11601.7,11653.07,16115902,9.04,0.08
2019/11/7,11642.91,11647.47,11552.08,11606.56,14164826,-46.51,-0.4
2019/11/8,11620.89,11642.41,11561.31,11579.54,14159337,-27.02,-0.23
2019/11/11,11570.33,11570.33,11409.83,11427.28,15390968,-152.26,-1.31
2019/11/12,11463.33,11520.37,11459.68,11520.37,11956260,93.09,0.81
2019/11/13,11483.24,11509.37,11439.09,11467.83,11667743,-52.54,-0.46
2019/11/14,11488.74,11498.25,11424.77,11450.42,13221349,-17.41,-0.15
2019/11/15,11485.46,11552.25,11485.46,11525.6,13194467,75.18,0.66
2019/11/18,11543.8,11599.78,11532.97,11599.78,10986616,74.18,0.64
2019/11/19,11608.48,11656.4,11576.79,11656.4,12362100,56.62,0.49
2019/11/20,11645.73,11649.07,11591.73,11631.2,11827353,-25.2,-0.22
2019/11/21,11573.84,11573.84,11478.43,11558.27,12187324,-72.93,-0.63
2019/11/22,11556.75,11577.02,11534.15,11566.8,10945715,8.53,0.07
2019/11/25,11590.81,11604.75,11559.33,11561.58,11353259,-5.22,-0.05
2019/11/26,11608.37,11642.96,11576.82,11576.82,20196755,15.24,0.13
2019/11/27,11590.81,11651.73,11590.81,11647.46,10992747,70.64,0.61
2019/11/28,11641.7,11654.06,11604.68,11617.08,10627134,-30.38,-0.26
2019/11/29,11616.88,11623.59,11485.16,11489.57,12143233,-127.51,-1.1
2019/12/2,11509.94,11524.85,11454.38,11502.83,11488179,13.26,0.12
2019/12/3,11473.32,11531.58,11460.06,11531.58,10977976,28.75,0.25
2019/12/4,11511.82,11513.83,11457.43,11510.47,10949339,-21.11,-0.18
2019/12/5,11546.75,11604.39,11546.75,11594.65,12513139,84.18,0.73
2019/12/6,11639.8,11657.65,11577.83,11609.64,11257417,14.99,0.13
2019/12/9,11635.47,11678.36,11631.03,11660.77,12378736,51.13,0.44
2019/12/10,11647.78,11649.73,11607.26,11627.84,10548753,-32.93,-0.28
2019/12/11,11635.07,11700.77,11622.58,11700.77,12899434,72.93,0.63
2019/12/12,11766.98,11875.98,11766.98,11836.42,15440716,135.65,1.16
2019/12/13,11937.9,11990.78,11913.02,11927.73,17318630,91.31,0.77
2019/12/16,11915.61,11975.73,11915.61,11939.77,14484898,12.04,0.1
2019/12/17,11939.62,12097.01,11939.62,12097.01,15657287,157.24,1.32
2019/12/18,12061.1,12125.9,12059.92,12122.45,15063012,25.44,0.21
2019/12/19,12082.98,12111.77,12008.16,12018.9,13775949,-103.55,-0.85
2019/12/20,12001.56,12028.22,11937.45,11959.08,17059506,-59.82,-0.5
2019/12/23,11969.14,12022.23,11960.21,12022.23,11431088,63.15,0.53
2019/12/24,12023.79,12027.6,11976.38,11976.38,10413265,-45.85,-0.38
2019/12/25,11978.94,12032.37,11973.95,12008.13,9122287,31.75,0.27
2019/12/26,12018.38,12030.66,11982.64,12001.01,10079390,-7.12,-0.06
2019/12/27,12032.72,12093.02,12032.72,12091.59,10905959,90.58,0.75
2019/12/30,12094.81,12114.89,12046.22,12053.37,12554390,-38.22,-0.32
2019/12/31,12019.19,12047.75,11997.14,11997.14,11803704,-56.23,-0.47
2020/1/2,12026.5,12110.74,12026.23,12100.48,14271455,103.34,0.86
2020/1/3,12167.44,12197.64,12023.6,12110.43,19375968,9.95,0.08
2020/1/6,12035.71,12040.08,11953.36,11953.36,14430404,-157.07,-1.3
2020/1/7,11961.97,11986.03,11822.4,11880.32,16642071,-73.04,-0.61
2020/1/8,11818.76,11899.67,11777.45,11817.1,15067944,-63.22,-0.53
2020/1/9,11889.46,11992.55,11889.46,11970.63,13425981,153.53,1.3
2020/1/10,12009.27,12038.21,11959.06,12024.65,12893600,54.02,0.45
2020/1/13,12069.61,12113.42,12037.24,12113.42,14348857,88.77,0.74
2020/1/14,12161.73,12186.62,12140.27,12179.81,15416438,66.39,0.55
2020/1/15,12169.92,12169.92,12048.01,12091.88,15255925,-87.93,-0.72
2020/1/16,12006.08,12075.54,12006.08,12066.93,14120344,-24.95,-0.21
2020/1/17,12080.72,12117.55,12055.91,12090.29,13419543,23.36,0.19
2020/1/20,12107.56,12151.42,12101.55,12118.71,11619893,28.42,0.24
2020/1/30,11933.23,11933.23,11418.22,11421.74,27763129,-696.97,-5.75
2020/1/31,11494.03,11594.21,11436.95,11495.1,17669448,73.36,0.64
2020/2/3,11365.9,11365.9,11138.03,11354.92,18449219,-140.18,-1.22
2020/2/4,11399.46,11581.36,11393.03,11555.92,16172767,201,1.77
2020/2/5,11601.55,11620.42,11512.71,11573.62,15815623,17.7,0.15
2020/2/6,11605.11,11749.68,11605.11,11749.68,14467856,176.06,1.52
2020/2/7,11712.71,11712.71,11592.09,11612.81,12988368,-136.87,-1.16
2020/2/10,11514.72,11598.03,11423.34,11574.07,13200286,-38.74,-0.33
2020/2/11,11614.25,11678.58,11614.25,11664.04,12319547,89.97,0.78
2020/2/12,11693.4,11801.52,11693.4,11774.19,15044244,110.15,0.94
2020/2/13,11813.5,11854.98,11784.94,11791.78,14106631,17.59,0.15
2020/2/14,11806.52,11840.79,11788.87,11815.7,11309728,23.92,0.2
2020/2/17,11770.3,11775.56,11724.82,11763.51,11603022,-52.19,-0.44
2020/2/18,11700.91,11717.1,11642.95,11648.98,14130667,-114.53,-0.97
2020/2/19,11655.37,11783.43,11654.16,11758.84,14174997,109.86,0.94
2020/2/20,11785.78,11827.83,11714.15,11725.09,13531432,-33.75,-0.29
2020/2/21,11721.16,11755.17,11661.63,11686.35,12494530,-38.74,-0.33
2020/2/24,11615.28,11615.28,11512.08,11534.87,14029722,-151.48,-1.3
2020/2/25,11506.74,11567.09,11415.47,11540.23,15548733,5.36,0.05
2020/2/26,11468.6,11494.22,11408.06,11433.62,17707702,-106.61,-0.92
2020/2/27,11436.96,11470.23,11274.52,11292.17,20345978,-141.45,-1.24
2020/3/2,11184.66,11282.05,11049.85,11170.46,20320689,-121.71,-1.08
2020/3/3,11279.86,11390.24,11279.86,11327.72,16501897,157.26,1.41
2020/3/4,11368.25,11392.35,11297.81,11392.35,14073526,64.63,0.57
2020/3/5,11454.65,11525.32,11454.65,11514.82,14595794,122.47,1.08
2020/3/6,11471.36,11471.36,11310.32,11321.81,15147831,-193.01,-1.68
2020/3/9,11221.76,11221.76,10977.64,10977.64,23267077,-344.17,-3.04
2020/3/10,10907.62,11032.47,10830.22,11003.54,20775382,25.9,0.24
2020/3/11,11022.82,11088.23,10885.91,10893.75,17765819,-109.79,-1
2020/3/12,10845.39,10845.39,10359.67,10422.32,27117054,-471.43,-4.33
